,0,1,2
70,0235bdc2-fe9b-328e-af2b-2bbcc621739c.yml,ErTy_TeQuilla,"{'base': {'world': 'world', 'x': -4307.399606336051, 'y': 75.0, 'z': 1316.5155175127688, 'yaw': 249.20111083984375, 'pitch': 14.63914680480957, 'world-name': ''}, 'enchant': {'world': 'world', 'x': 118.2438473695872, 'y': 87.0, 'z': -99.33161378918804, 'yaw': -267.94256591796875, 'pitch': 73.42682647705078, 'world-name': ''}, 'noel': {'world': 'world', 'x': 5043.947180133682, 'y': 63.0, 'z': 2557.803402479935, 'yaw': -85.75083923339844, 'pitch': 9.067646026611328, 'world-name': ''}}"
71,023841ff-ba38-3eaa-89f3-42cbbbba065e.yml,MiuMiikuMiau,
72,023898ac-ed29-3b85-90bb-65339da4fa43.yml,thomasrerc,"{'bp': {'world': 'world', 'x': -3319.8085365118864, 'y': 64.0, 'z': -873.8842105492083, 'yaw': 176.9336395263672, 'pitch': 16.796039581298828, 'world-name': ''}}"
73,02393b51-c851-3cd9-bee7-468fcf5aab86.yml,Darcklife,
74,023a3591-d5eb-324b-a6b8-f77426df3e01.yml,Totem_404,"{'to': {'world': 'world', 'x': -4002.408926629661, 'y': 68.0, 'z': 4029.444425492464, 'yaw': -100.0113754272461, 'pitch': 9.599943161010742, 'world-name': ''}, 'ta': {'world': 'world', 'x': -3870.607874651228, 'y': 91.0, 'z': 4099.837327751765, 'yaw': 329.8900146484375, 'pitch': 36.299983978271484, 'world-name': ''}, 'mine': {'world': 'Ressource', 'x': 2087.0416512284737, 'y': 81.0, 'z': -21.666462783275907, 'yaw': 25.200347900390625, 'pitch': 25.50007438659668, 'world-name': ''}}"
75,023c102f-3e4b-3dec-83cb-e614564f3c57.yml,Bombe90,
76,024eec04-572b-3c65-ba65-03adb8df1506.yml,FrDarkSider,"{'home': {'world': 'world', 'x': 1910.7843063481685, 'y': 67.0625, 'z': -2161.573156717306, 'yaw': 282.29974365234375, 'pitch': 7.799953460693359, 'world-name': ''}}"
77,02567f97-a198-3dba-b03e-ac94c0fd12ae.yml,loizol,
78,0262fa7a-32c9-3892-8cda-8f31c4f3652e.yml,BozakYy,
79,02652b1f-9953-3e35-a87f-ac4f46596c8e.yml,Polognaise,"{'home': {'world': 'world', 'x': -5605.218815380435, 'y': 70.0, 'z': 2133.981788032385, 'yaw': -75.14148712158203, 'pitch': 7.445920944213867, 'world-name': ''}}"
80,02661f44-6c8d-384f-a844-199858286175.yml,Dydzo,
81,027399ab-358c-3076-84a1-b3093ca30c33.yml,21am_3019,
82,0273ea26-005b-3c62-b25d-4d126888bb57.yml,Inoxy67,
83,027ee5cf-1f6c-329d-bf2f-0d85d4a3b15a.yml,louisan,"{'home': {'world': 'world', 'x': 154.69985985422954, 'y': 63.0, 'z': 61.55964957590595, 'yaw': -74.94357299804688, 'pitch': -2.5741536617279053, 'world-name': ''}}"
84,027ff4e8-43c4-3f7e-8a59-bdb5f7d73ef7.yml,Royale_G33K,
85,02837ce6-3587-3f72-a518-e0ec58cfdb97.yml,Pikloww,
86,028755c8-c0ce-3111-9fb9-d805b9fd1c3d.yml,kiliandu83,"{'home': {'world': 'world', 'x': 110.21493360606277, 'y': 63.0, 'z': -166.67875838590527, 'yaw': -195.74908447265625, 'pitch': 6.900022506713867, 'world-name': ''}}"
87,0287bc4a-cf22-3396-87dd-fda934ee505d.yml,Freezio_,"{'wither': {'world': 'd097c14e-8288-4547-88dc-d9590a602c7b', 'x': 707.0015629739974, 'y': 56.0, 'z': -3427.2230547757, 'yaw': -1.2035917043685913, 'pitch': 43.94963836669922, 'world-name': 'Nether'}, 'guardian': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -6501.618069490709, 'y': 183.0, 'z': -863.9636725413363, 'yaw': -267.97509765625, 'pitch': 25.31257438659668, 'world-name': 'world'}, 'gold': {'world': 'd097c14e-8288-4547-88dc-d9590a602c7b', 'x': -2651.687674237291, 'y': 60.0, 'z': -2885.9098777751597, 'yaw': 55.9046630859375, 'pitch': 45.506309509277344, 'world-name': 'Nether'}, 'excelsior': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': 939.5238407201789, 'y': 58.0, 'z': -4460.4250337097055, 'yaw': 20.455690383911133, 'pitch': -0.6024937033653259, 'world-name': 'world'}, 'champimeuh': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -6462.346362685811, 'y': 64.0, 'z': -5578.336280178893, 'yaw': 162.09600830078125, 'pitch': 23.59651756286621, 'world-name': 'world'}, 'raid': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -5860.65652344096, 'y': 159.5625, 'z': -6895.2153052757285, 'yaw': 171.66339111328125, 'pitch': 54.61103057861328, 'world-name': 'world'}, 'quetes': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': 3815.822958068328, 'y': 56.0, 'z': 4146.253150941447, 'yaw': -216.81687927246094, 'pitch': 23.093338012695312, 'world-name': 'world'}, 'base': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -2378.699999988079, 'y': 95.0, 'z': -6676.404363444216, 'yaw': 94.26311492919922, 'pitch': -23.12355613708496, 'world-name': 'world'}, 'jungle': {'world': '1c5ecae9-0331-471a-b4f1-02a6857928e0', 'x': -2206.952071138582, 'y': 66.0, 'z': 961.7768529251132, 'yaw': -6.246807098388672, 'pitch': 4.849494457244873, 'world-name': 'Ressource'}, 'pnj': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -2276.632178633143, 'y': 60.0, 'z': -6727.639038004685, 'yaw': 2.5337038040161133, 'pitch': 20.051166534423828, 'world-name': 'world'}, 'roi_de_l_eau': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -3010.811503088915, 'y': 135.0, 'z': 6712.497114538711, 'yaw': 3.710418701171875, 'pitch': 15.063154220581055, 'world-name': 'world'}, 'roi_de_glace': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': 5555.300000011921, 'y': 47.0, 'z': -6974.699999988079, 'yaw': 211.77288818359375, 'pitch': 42.70039749145508, 'world-name': 'world'}, 'crane': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -89.17375816585704, 'y': 24.0, 'z': 142.7754938263892, 'yaw': -161.30572509765625, 'pitch': 14.704875946044922, 'world-name': 'world'}, 'o': {'world': 'b7fb2600-9a6b-4455-aa1e-a8df500c3eeb', 'x': 5182.362982231396, 'y': 86.5, 'z': 4856.8449371239685, 'yaw': 188.05828857421875, 'pitch': 44.32960891723633, 'world-name': 'Donjon'}, 'natura': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -4864.699999988079, 'y': 74.0, 'z': -430.39713647619965, 'yaw': -164.52630615234375, 'pitch': 7.099338054656982, 'world-name': 'world'}, 'topp': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -4947.557443847056, 'y': 109.0, 'z': -161.63218337056557, 'yaw': 304.97650146484375, 'pitch': 54.29842758178711, 'world-name': 'world'}, 'roi': {'world': 'b7fb2600-9a6b-4455-aa1e-a8df500c3eeb', 'x': 840.1657375986119, 'y': 4.0, 'z': 90.91341914220914, 'yaw': 55.9282112121582, 'pitch': 21.61260223388672, 'world-name': 'Donjon'}}"
88,02906bdc-0a3b-33e6-8d25-8552e5d241cd.yml,Prime_lolo200,
89,029125bb-4aa1-3448-aef0-ed955b55f521.yml,Maxime115,
90,029f81e8-0428-30e0-8e7f-563ad0bb3f97.yml,poney189,
91,02a3b383-d8d6-3592-a7ea-482bff03591e.yml,minou71,
92,02a4b236-c32b-3cd4-911d-dc5af96bef30.yml,RIDICULMAN3,
93,02abba87-81da-3147-b3df-a65a46bd589b.yml,ELyssaRussia,
94,02b203cf-7d43-39a8-8a8d-a1c43d83f46d.yml,chevalzor,
95,02b20511-8c9f-36dd-932e-b8a10e095e80.yml,Ougak,
96,02b3b298-1ce6-3d5d-936c-0d9e8e37cd72.yml,darkwolf2517,
97,02b442c5-ddc5-3790-a450-88eda6926252.yml,Vorl0X_fr,
98,02bb2e8b-0b60-3762-a946-34b2ea3708a4.yml,Samoonchild,
99,02c3aaeb-131f-323c-962f-f830cba9f413.yml,RoketDock,
100,02c56a5e-54fe-33bf-be40-8db35afd2012.yml,T4rZ0,
101,02cab897-c30c-360b-998e-e96e5fd29f27.yml,yel,"{'home': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': 114.73823903936565, 'y': 73.0, 'z': -338.33861771951024, 'yaw': -262.13525390625, 'pitch': 14.676238059997559, 'world-name': 'world'}}"
102,02cb403d-07f9-362b-ab3d-b76b0a4d6537.yml,Lau_Queer,"{'maison': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'world-name': 'world', 'x': 4291.227143701648, 'y': 121.0, 'z': -1515.6306996624146, 'yaw': -337.0284729003906, 'pitch': 27.25901985168457}, 'ec': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'world-name': 'world', 'x': -7217.747466729697, 'y': 63.0, 'z': -5570.961615132497, 'yaw': -94.42422485351562, 'pitch': 27.29920196533203}, 'b': {'world': 'f6cc7e86-533e-4833-a044-23fb95716522', 'world-name': 'Ressource', 'x': 4357.907680241217, 'y': 11.0, 'z': 5456.300000011921, 'yaw': 72.5233383178711, 'pitch': 15.234622955322266}}"
103,02cc6bda-3baa-35b7-8542-14eec92752ae.yml,TheFirstHuman,
104,02dd9710-7039-3e6a-bf18-2b779a245197.yml,yumiko,
105,02dff831-a35b-33f3-bc60-9040c6f86191.yml,sisix1212,
106,02ed05bd-12e4-3b83-9177-18e34069f735.yml,Triox9,
107,03024211-10c5-3b3f-911e-2a14bd1e4d18.yml,Arrgonn,
108,0312bdee-7f59-3045-bc06-63a9248802c3.yml,Tekiro,
109,03151bbc-121e-3468-96c3-921d30a5f574.yml,Nathan968,
110,03223d45-c42a-3b48-80bf-024809bc7176.yml,Kylian_Lipert,
111,0325a728-60ad-3408-bd1e-2f3b25f4e5c7.yml,Graviton,"{'maison': {'world': 'world', 'x': -1028.5584233997, 'y': 69.0, 'z': 1857.7432083624747, 'yaw': 183.33387756347656, 'pitch': 20.474184036254883, 'world-name': ''}, 'fer': {'world': 'world', 'x': -1028.5, 'y': 69.0, 'z': 1857.5, 'yaw': 183.33387756347656, 'pitch': 20.474184036254883, 'world-name': ''}, 'moi': {'world': 'world', 'x': -1541.2421303111241, 'y': 69.0, 'z': 1079.582980876988, 'yaw': 134.68795776367188, 'pitch': 1.34996497631073, 'world-name': ''}}"
112,032b2f69-8ac4-3e1d-9db5-2aab608bdcaf.yml,Zoro_Roronoa,"{'home': {'world': 'world', 'x': 2657.267186341727, 'y': 63.0, 'z': -5364.655582915034, 'yaw': -9.75128173828125, 'pitch': 16.200044631958008, 'world-name': ''}, 'manoir': {'world': 'world', 'x': 5622.079618726127, 'y': 68.0, 'z': -3171.300000011921, 'yaw': 51.59588623046875, 'pitch': 0.44997575879096985, 'world-name': ''}}"
113,034fa047-af78-34ea-a5d8-554f665a76c3.yml,ayatagrossetante,
114,0352099b-c806-3d5e-a626-cb1ee642213c.yml,Arnonyx,
115,035aa25a-742a-3bb1-9e77-3812b3a726a7.yml,louis641,
116,0360ef9b-aa40-36ad-9306-1d40ba8c2c5f.yml,ThePixel78Phenix,"{'base': {'world': 'world', 'x': -3695.359028157195, 'y': 132.0, 'z': -2821.4722744220385, 'yaw': -97.20149230957031, 'pitch': 76.04999542236328, 'world-name': ''}}"
117,03675894-6cd8-3c44-bcf2-453659b67a3e.yml,theo27430,
118,03679583-38a7-33ce-8e96-76a41869a427.yml,Galatik_Craft,
119,036d58c6-94ec-346c-8338-dcdee071a46c.yml,SiriusB_,
120,03880125-37c7-33e0-a506-be4222df3f8b.yml,Drasque,"{'home': {'world': 'ressource', 'x': 10266.60785785109, 'y': 72.0, 'z': 6685.007083241859, 'yaw': 125.01383972167969, 'pitch': 28.232519149780273, 'world-name': ''}}"
121,038ebd9a-bff9-3e92-a373-3ff3a83098de.yml,ewen1,
